"ROLLNUMBER","MPACCIVIC","MPACSTREETNAME","SHAPE_Length","SHAPE_Area"
"010043132000000","58","MEGGINSON DR",107.65350148225755,606.7039499982216
"010044026000000","112","ASHGROVE AVE",116.25511369203775,737.2486000018972
"010043168000000","362","COURTNEY CRES",113.79629450885409,639.045999981273
"010043143000000","81","MEGGINSON DR",113.87948103366033,649.2599000249733
"010043165000000","374","COURTNEY CRES",118.27430811245382,755.4328999831811
"010043144000000","77","MEGGINSON DR",111.03598358199484,597.8667500209604
"010043170000000","127","AMBER ST",100.8332425290298,585.1555500142432
"010043146000000","63","MEGGINSON DR",112.95735448375363,616.9299499957741
"010043148000000","49","MEGGINSON DR",102.18278581408529,564.8292000092931
"010043164000000","378","COURTNEY CRES",106.4500818511113,643.2082999766719
"010045056000000","14","CAROL CRT",108.43993486032925,614.4835999823209
"010043172000000","135","AMBER ST",102.64645707377562,574.202300021448
"010049003000000","168","AMBER ST",113.66299095408449,726.0880999789066
"010044030000000","132","ASHGROVE AVE",115.82438636594532,734.6105500074074
"010049004000000","172","AMBER ST",113.07618046331777,716.0806000108417
"010044032000000","144","ASHGROVE AVE",115.61795641667219,732.4847999935641
"010044038000000","217","CHAMBERS AVE",111.7568966010287,692.1511999928124
"010044039010000","201","CHAMBERS AVE",112.5979086811864,709.891400007388
"010044040000000","197","CHAMBERS AVE",111.75111855457506,695.0986999885655
"010044034000000","154","ASHGROVE AVE",115.54357124576981,731.3977000120982
"010049116000000","21","ADRIAN DR",108.69263346133862,599.1077499859724
"010043001000000","161","AMBER ST",111.23289056337572,681.3008499764554
"010040044000000","381","COURTNEY CRES",101.30697355879198,602.7496500071961
"010045119000000","81","ELAINE CRT",116.34912953877244,753.2280499945365
"010022072000000","156","CHARTWELL DR",282.37591455496886,4559.4605500157795
"010020092000000","39","SUTTON PL",102.49400643595916,547.2243499903992
"010020091000000","35","SUTTON PL",106.49913507522302,617.8485000026841
"010020093000000","43","SUTTON PL",103.17436033036178,559.2052499874998
"010020088000000","23","SUTTON PL",101.05137941081743,519.8247999923534
"010020074000000","157","BRISTOL PL",114.60658342039238,729.0565499803356
"010022064000000","110","CHARTWELL DR",133.3322917733783,739.7919500342227
"010020085000000","11","SUTTON PL",121.15229332941455,733.150700026828
"010022061000000","98","CHARTWELL DR",117.32940178383568,662.7550500471414
"010020080000000","87","CHARTWELL DR",106.46578913459847,581.1648499853757
"010020083000000","101","CHARTWELL DR",103.00891609937014,547.6379999645501
"010020077000000","169","BRISTOL PL",113.39242221891392,701.3604500245389
"010022059000000","90","CHARTWELL DR",112.14285881213637,661.0908999757639
"010021026010000","3","CAMBRIDGE PL",87.05005176582556,320.8077500224058
"010020126010000","179","SUTTON PL",93.74556519165016,339.34484998653977
"010020120010000","155","SUTTON PL",95.76750587461031,382.1725000212714
"010020121010000","159","SUTTON PL",99.08855114797004,420.12044999903003
"010021030010000","25","CAMBRIDGE PL",86.30688621142792,267.8912000070896
"010021031010000","29","CAMBRIDGE PL",89.76536749283173,331.8009999493938
"010021032000000","31","CAMBRIDGE PL",87.9003758835186,300.46700002473966
"010021033000000","35","CAMBRIDGE PL",94.94113141850129,392.71140002241026
"010020122000000","161","SUTTON PL",97.01920839775298,368.50204999107945
"010021027010000","9","CAMBRIDGE PL",96.63391459939021,444.8889000081051
"010043024000000","35","ASHGROVE AVE",107.22042456095855,605.2360000066794
"010043077000000","76","JOEL CRT",109.1206288540152,708.4702999856256
"010043022000000","43","ASHGROVE AVE",107.04019634509926,614.3960999666094
"010043055000000","63","JOEL CRT",122.20128700444315,855.2926000127826
"010045089000000","128","CHAMBERS AVE",112.63916568909669,710.8341999653719
"010044051000000","141","CHAMBERS AVE",111.81904539239842,676.9351499575529
"010045100000000","124","CHAMBERS AVE",110.17348365174496,667.2402000092204
"010045104000000","98","CHAMBERS AVE",112.28820023070655,696.4512000204076
"010045103000000","102","CHAMBERS AVE",113.15397494450637,714.5286499772337
"010044055000000","121","CHAMBERS AVE",115.21510775738443,735.5390000029317
"010045088000000","15","CAROL CRT",111.12522517996439,687.055699996411
"010045117000000","89","ELAINE CRT",114.04462468414121,706.8244500147953
"010044020000000","84","ASHGROVE AVE",115.60205017419955,724.827299977769
"010043013000000","76","DAUPHIN DR",116.28055848759618,773.8458499875196
