"FULLNAME","STREETPREFIX","STREETNAME","STREETTYPE","STREETSUFFIX","LEFTFROMADDRESS","LEFTTOADDRESS","RIGHTFROMADDRESS","RIGHTTOADDRESS","geometry.paths"
"Great Northern Road"," ","Great Northern","Road"," ",1741,2055,1740,2056,"[[[705135.1999999993,5162134.699999999],[705160.0099999998,5162176.15],[705172.0800000001,5162190.880000001],[705204.7899999991,5162225.199999999],[705237.7200000007,5162253.119999999],[705352.0700000003,5162332.640000001],[705529.3900000006,5162456.029999999],[705660.0500000007,5162546.75],[705734.8100000005,5162599.539999999],[705751.0500000007,5162612.359999999],[705765.9800000004,5162625.09],[705778.6199999992,5162636.630000001],[705788.2599999998,5162645.68],[705798.0299999993,5162655.48],[705812.2200000007,5162670.27],[705822.6799999997,5162681.699999999],[705828.3300000001,5162688.43],[705841.0500000007,5162704.199999999],[705848.6500000004,5162714.119999999],[705857.1199999992,5162725.83],[705868.0899999999,5162742],[705879.1099999994,5162759.15],[705885.0500000007,5162769.02],[705906.5299999993,5162806.27],[705913.8100000005,5162822.789999999]]]"
"Old Highway 17 North"," ","Old Highway 17"," ","North",202,246,0,0,"[[[705222.5899999999,5161922.52],[705265.4600000009,5161969.300000001],[705451.5099999998,5162156.16]]]"
"Fifth Line East"," ","Fifth","Line","East",614,668,613,677,"[[[705208.5299999993,5162139.039999999],[705253.9600000009,5162143.07],[705451.5099999998,5162156.16]]]"
"Fifth Line East"," ","Fifth","Line","East",582,612,583,611,"[[[705135.1999999993,5162134.699999999],[705208.5299999993,5162139.039999999]]]"
"Powley Road"," ","Powley","Road"," ",4,48,3,49,"[[[705222.5899999999,5161922.52],[705208.5299999993,5162139.039999999]]]"
"Fourth Line East"," ","Fourth","Line","East",1092,1490,1089,1377,"[[[707127.8599999994,5160670.91],[707156.1099999994,5160673.039999999],[707221.9399999995,5160678.34],[707409.0999999996,5160692.369999999],[707810.4499999993,5160721.210000001],[708164.9299999997,5160745.84],[708296.1099999994,5160754],[708382.5800000001,5160760.02],[708436.7400000002,5160764.68],[708489,5160769.15],[708521.2799999993,5160772.42],[708534.4100000001,5160773.52],[708561.3499999996,5160775.369999999],[708605.6699999999,5160778.4]]]"
"Sussex Road"," ","Sussex","Road"," ",241,259,236,252,"[[[702339.1500000004,5157423.619999999],[702195.8300000001,5157412.970000001]]]"
"Amy Avenue"," ","Amy","Avenue"," ",2,56,1,59,"[[[708939.2599999998,5156401.039999999],[709139.75,5156407.380000001]]]"
"Anna Street"," ","Anna","Street"," ",2,12,5,15,"[[[708912.0899999999,5156090.24],[708915.2400000002,5156092.630000001],[708918.8900000006,5156094.109999999],[708929.4499999993,5156095.779999999],[708961.3100000005,5156098.08]]]"
"Jean Avenue"," ","Jean","Avenue"," ",16,58,17,59,"[[[708934.0500000007,5156518.640000001],[709137.4100000001,5156524.91]]]"
"Manitou Drive"," ","Manitou","Drive"," ",137,171,138,166,"[[[708934.0500000007,5156518.640000001],[708930.4100000001,5156637.0600000005]]]"
"Kent Crescent"," ","Kent","Crescent"," ",1,41,6,20,"[[[702839.75,5159225.960000001],[702831.8900000006,5159316.960000001],[702828.9199999999,5159361.880000001],[702827.9900000002,5159383.1899999995],[702829.5199999996,5159390.119999999],[702831.8499999996,5159393.16],[702835.0299999993,5159395.5600000005],[702844.0899999999,5159397.630000001],[702920.5600000005,5159402.77]]]"
"Industrial Court B"," ","Industrial","Court","B",5,185,0,0,"[[[705086.5800000001,5158737.109999999],[704825.5700000003,5158735.130000001]]]"
"Northridge Road"," ","Northridge","Road"," ",43,79,46,82,"[[[704636.2599999998,5158361.630000001],[704631.0199999996,5158463.300000001],[704631.0199999996,5158463.890000001],[704630.9199999999,5158464.300000001],[704631.8200000003,5158467.9399999995],[704632.3900000006,5158469.24],[704633.1999999993,5158470.91],[704636.0099999998,5158475.01],[704638.9600000009,5158478.029999999],[704640.3399999999,5158479.18],[704647.4000000004,5158482.9399999995],[704649.0199999996,5158483.41],[704652.5999999996,5158484.02],[704656.2400000002,5158484.220000001],[704660.3800000008,5158484.41],[704675.0600000005,5158485.27]]]"
"Highcrest Street"," ","Highcrest","Street"," ",1,61,10,50,"[[[704530.3499999996,5158157.85],[704556.0999999996,5158341.43],[704557.3499999996,5158344.539999999],[704558.8399999999,5158347.24],[704560.4900000002,5158349.51],[704562.2699999996,5158351.460000001],[704564.2599999998,5158353.23],[704569.9499999993,5158356.609999999],[704576.0399999991,5158358.460000001],[704585.9100000001,5158359.32],[704636.2599999998,5158361.630000001]]]"
"Northridge Road"," ","Northridge","Road"," ",9,41,2,44,"[[[704650.9600000009,5158164.99],[704636.2599999998,5158361.630000001]]]"
"Industrial Park Crescent"," ","Industrial Park","Crescent"," ",305,397,306,380,"[[[705104.3900000006,5158487.16],[705086.5800000001,5158737.109999999]]]"
"Industrial Court A"," ","Industrial","Court","A",10,142,0,0,"[[[705104.3900000006,5158487.16],[704845.0299999993,5158470.619999999]]]"
"Mary Avenue"," ","Mary","Avenue"," ",11,29,14,30,"[[[704650.9600000009,5158164.99],[704530.3499999996,5158157.85]]]"
"Mary Avenue"," ","Mary","Avenue"," ",1,9,2,12,"[[[704701.3699999992,5158164.08],[704698.1799999997,5158166.029999999],[704695.8900000006,5158166.66],[704690.8100000005,5158167.01],[704685.8800000008,5158166.960000001],[704650.9600000009,5158164.99]]]"
"Drive In Road"," ","Drive In","Road"," ",24,232,25,235,"[[[705509.0500000007,5158372.789999999],[705114.5099999998,5158348.09]]]"
"Industrial Park Crescent"," ","Industrial Park","Crescent"," ",253,303,252,304,"[[[705114.5099999998,5158348.09],[705104.3900000006,5158487.16]]]"
"Killarney Road"," ","Killarney","Road"," ",24,124,21,125,"[[[705513.4399999995,5158301.4399999995],[705815.0500000007,5158319.630000001],[705823.5199999996,5158322.42],[705827.4000000004,5158323.26],[705831.5899999999,5158323.4399999995],[705841.3200000003,5158322.529999999],[705846.3000000007,5158319.26],[705849,5158317.130000001],[705851.2599999998,5158312.74],[705853.2400000002,5158306.8100000005],[705853.7799999993,5158303.34],[705853.7200000007,5158295.5],[705852.1500000004,5158280.68],[705857.3599999994,5158180.220000001]]]"
"Great Northern Road"," ","Great Northern","Road"," ",667,715,664,696,"[[[705522.3699999992,5158161.65],[705513.4399999995,5158301.4399999995]]]"
"Great Northern Road"," ","Great Northern","Road"," ",717,727,698,738,"[[[705513.4399999995,5158301.4399999995],[705509.0500000007,5158372.789999999]]]"
"Talwood Drive"," ","Talwood","Drive"," ",0,0,0,0,"[[[706243.9900000002,5157125.25],[706242.2200000007,5157170.75]]]"
"Terrance Avenue"," ","Terrance","Avenue"," ",166,204,161,205,"[[[706107.4199999999,5158036.449999999],[706229.1099999994,5157935.460000001]]]"
"Eastwood Street"," ","Eastwood","Street"," ",42,66,41,71,"[[[706293.25,5158038.039999999],[706283.2799999993,5158181.23]]]"
"Cedarwood Drive"," ","Cedarwood","Drive"," ",6,38,7,57,"[[[706138.3399999999,5158172.039999999],[706140.3399999999,5158138.869999999],[706144.0700000003,5158126.960000001],[706153.8100000005,5158116.390000001],[706231.8499999996,5158051.58],[706251.5999999996,5158038.51],[706269.5600000005,5158037.3100000005],[706272.3000000007,5158037.35],[706293.25,5158038.039999999]]]"
"Northwood Street"," ","Northwood","Street"," ",40,78,35,61,"[[[706138.3399999999,5158172.039999999],[706283.2799999993,5158181.23]]]"
"Macnamara Drive"," ","Macnamara","Drive"," ",8,12,7,11,"[[[706179.5299999993,5157911.859999999],[706184.3699999992,5157855.109999999],[706185.2699999996,5157843.75],[706185.6799999997,5157837.02],[706185.8399999999,5157831.800000001],[706185.4499999993,5157825.73],[706184.7899999991,5157821.32]]]"
"Southwood Drive"," ","Southwood","Drive"," ",106,130,121,131,"[[[706179.5299999993,5157911.859999999],[706190,5157913.67],[706205,5157918.85],[706221.0299999993,5157928.15],[706229.1099999994,5157935.460000001]]]"
"Terrance Avenue"," ","Terrance","Avenue"," ",136,164,137,159,"[[[706022.9900000002,5158117.75],[706082.3800000008,5158058.640000001],[706107.4199999999,5158036.449999999]]]"
"Westwood Crescent"," ","Westwood","Crescent"," ",0,0,7,37,"[[[706107.4199999999,5158036.449999999],[706068.2699999996,5157992.5]]]"
"Eastwood Street"," ","Eastwood","Street"," ",18,40,11,39,"[[[706258.8599999994,5157911.17],[706287.3800000008,5157947.539999999],[706294.6500000004,5157962.99],[706297.4000000004,5157976.51],[706297.3100000005,5157988.18],[706296.1199999992,5158006.15],[706293.25,5158038.039999999]]]"
"Goulais Avenue"," ","Goulais","Avenue"," ",1153,1221,1148,1210,"[[[700565.9000000004,5159950.57],[700552.2100000009,5160138.550000001]]]"
"Foothill Road"," ","Foothill","Road"," ",23,63,14,62,"[[[700552.2100000009,5160138.550000001],[700286.7400000002,5160120.039999999]]]"
"McQueen Road"," ","McQueen","Road"," ",19,69,14,68,"[[[700565.9000000004,5159950.57],[700299.8100000005,5159931.789999999]]]"
"Ranger Street"," ","Ranger","Street"," ",0,0,0,0,"[[[700299.8100000005,5159931.789999999],[700286.7400000002,5160120.039999999]]]"
"Venn Street"," ","Venn","Street"," ",0,0,0,0,"[[[700168.1400000006,5159922.640000001],[700175.7599999998,5159833.18]]]"
"McQueen Road"," ","McQueen","Road"," ",71,103,70,104,"[[[700299.8100000005,5159931.789999999],[700168.1400000006,5159922.640000001]]]"
"Westridge Road"," ","Westridge","Road"," ",53,91,56,70,"[[[704211,5158212.6899999995],[704140.8499999996,5158298.550000001],[704135.6600000001,5158306.91],[704133.8499999996,5158310.65],[704131.5600000005,5158316.609999999],[704129.6899999995,5158323],[704128.4600000009,5158328.84],[704127.8599999994,5158334.8100000005],[704127.8100000005,5158342.390000001],[704130.9199999999,5158359.4]]]"
"West Perth Bay","West","Perth","Bay"," ",41,77,40,78,"[[[702320.9499999993,5159320.34],[702302.1799999997,5159319.359999999],[702285.5099999998,5159317.970000001],[702282.6600000001,5159317.17],[702278.9800000004,5159315.08],[702277.3499999996,5159313.67],[702275.8300000001,5159311.890000001],[702274.8800000008,5159310.4],[702274.5600000005,5159309.619999999],[702274.0600000005,5159308.710000001],[702273.3499999996,5159306.529999999],[702272.7699999996,5159303.449999999],[702272.7699999996,5159300.32],[702272.8399999999,5159298.82],[702273,5159296.15],[702281.0500000007,5159178.869999999]]]"
"West Dunrobin Bay","West","Dunrobin","Bay"," ",3,39,4,24,"[[[702467.5999999996,5159191.619999999],[702458.8699999992,5159311.82],[702458.7200000007,5159316.1899999995],[702458.8800000008,5159317.789999999],[702459.4100000001,5159319.91],[702460.4900000002,5159322.539999999],[702461.3599999994,5159323.8100000005],[702462.8800000008,5159326.02],[702464.3900000006,5159327.5],[702467.8100000005,5159329.74],[702469.4299999997,5159330.390000001],[702491.3699999992,5159332.460000001],[702550.4900000002,5159336.75]]]"
"East Dunrobin Bay","East","Dunrobin","Bay"," ",1,13,2,14,"[[[702559.6699999999,5159197.800000001],[702550.4900000002,5159336.75]]]"
"Tallack Boulevard"," ","Tallack","Boulevard"," ",0,0,0,0,"[[[702559.6699999999,5159197.800000001],[702467.5999999996,5159191.619999999]]]"
"Tallack Boulevard"," ","Tallack","Boulevard"," ",0,0,0,0,"[[[702467.5999999996,5159191.619999999],[702374.6300000008,5159184.85]]]"
"East Dunrobin Bay","East","Dunrobin","Bay"," ",15,17,16,18,"[[[702550.4900000002,5159336.75],[702546.5399999991,5159391.49]]]"
"Pleasant Drive"," ","Pleasant","Drive"," ",155,165,0,0,"[[[706575.8499999996,5156533.59],[706478.1799999997,5156529.279999999]]]"
"Plaintree Drive"," ","Plaintree","Drive"," ",191,199,176,178,"[[[706815.1300000008,5156370.210000001],[706857.9800000004,5156283.029999999]]]"
"Princeton Drive"," ","Princeton","Drive"," ",130,158,129,155,"[[[707046.4499999993,5156611.4399999995],[707060.5,5156590.390000001],[707066.5800000001,5156579.07],[707100.0399999991,5156511.34]]]"
"Pinemore Boulevard"," ","Pinemore","Boulevard"," ",1,23,2,22,"[[[706901.9399999995,5156412.52],[706987.6199999992,5156455.17]]]"
"Pleasant Drive"," ","Pleasant","Drive"," ",25,49,28,48,"[[[706943.9000000004,5156326.35],[706926.0999999996,5156362.039999999],[706901.9399999995,5156412.52]]]"
"Palace Drive"," ","Palace","Drive"," ",183,201,178,184,"[[[706857.9800000004,5156283.029999999],[706943.9000000004,5156326.35]]]"
"Sharon Crescent"," ","Sharon","Crescent"," ",113,137,100,130,"[[[706124.1699999999,5157116.140000001],[706243.9900000002,5157125.25]]]"
"Tadcaster Place"," ","Tadcaster","Place"," ",41,69,42,68,"[[[706165.7599999998,5157030.41],[706146.2699999996,5157047.890000001],[706140.5800000001,5157054.26],[706135.4600000009,5157062.029999999],[706132.6199999992,5157068.640000001],[706130.4299999997,5157075.699999999],[706128.7599999998,5157082.880000001],[706127.0299999993,5157092.5600000005],[706125.9000000004,5157101.369999999],[706124.1699999999,5157116.140000001]]]"
"Princeton Drive"," ","Princeton","Drive"," ",14,106,15,105,"[[[706567.8100000005,5156721.8100000005],[706790.1199999992,5156729.880000001],[706816.4499999993,5156729.41],[706832.3499999996,5156728.83],[706846.0600000005,5156727.789999999],[706862.4900000002,5156725.380000001],[706883.3200000003,5156721.210000001],[706901.2300000004,5156716.23],[706920.2300000004,5156709.359999999],[706934.5899999999,5156702.960000001],[706955.8300000001,5156692.58],[706974.6199999992,5156680.85]]]"
"Panoramic Drive"," ","Panoramic","Drive"," ",27,49,32,46,"[[[706572.0600000005,5156621.15],[706567.8100000005,5156721.8100000005]]]"
"Prince Charles Crescent"," ","Prince Charles","Crescent"," ",3,113,4,108,"[[[707231.6400000006,5156423.5600000005],[707407.1699999999,5156509.880000001],[707411.0999999996,5156512.51],[707415.5299999993,5156517.49],[707416.5500000007,5156519.51],[707417.2200000007,5156521.51],[707417.9700000007,5156525.74],[707417.8499999996,5156529.369999999],[707416.6500000004,5156533.17],[707415.9000000004,5156535.49],[707414.4900000002,5156538.74],[707397.0899999999,5156573.859999999],[707391.4800000004,5156583.92],[707389.9199999999,5156585.970000001],[707385.7699999996,5156589.65],[707383.5800000001,5156591.0600000005],[707380.3699999992,5156592.369999999],[707380.0700000003,5156592.369999999],[707376.6799999997,5156592.529999999],[707370.6400000006,5156591.68],[707351.5800000001,5156582.83],[707191.8900000006,5156504.15]]]"
"Pentagon Boulevard"," ","Pentagon","Boulevard"," ",197,229,188,226,"[[[706987.7100000009,5156238.390000001],[707073.1300000008,5156280.17],[707136.5500000007,5156314.869999999],[707185.4800000004,5156337.859999999]]]"
"Pentagon Boulevard"," ","Pentagon","Boulevard"," ",231,237,228,228,"[[[707185.4800000004,5156337.859999999],[707256.4600000009,5156373.619999999]]]"
"Princeton Drive"," ","Princeton","Drive"," ",160,190,157,189,"[[[707100.0399999991,5156511.34],[707185.4800000004,5156337.859999999]]]"
"Lake Street"," ","Lake","Street"," ",1017,1031,1018,1028,"[[[707256.4600000009,5156373.619999999],[707231.6400000006,5156423.5600000005]]]"
"Pinemore Boulevard"," ","Pinemore","Boulevard"," ",25,55,24,54,"[[[706987.6199999992,5156455.17],[707100.0399999991,5156511.34]]]"
"Lake Street"," ","Lake","Street"," ",1033,1049,1030,1050,"[[[707231.6400000006,5156423.5600000005],[707191.8900000006,5156504.15]]]"
"Lake Street"," ","Lake","Street"," ",1007,1015,1002,1016,"[[[707285.1699999999,5156316.1899999995],[707256.4600000009,5156373.619999999]]]"
"Plummer Court"," ","Plummer","Court"," ",3,35,4,32,"[[[707046.4499999993,5156611.4399999995],[707062.8499999996,5156636.369999999],[707063.0999999996,5156636.77],[707067.75,5156644.039999999],[707075.1300000008,5156657.710000001],[707080.1199999992,5156669.029999999],[707089.5500000007,5156695.220000001],[707103.7699999996,5156740.27]]]"
"Industrial Park Crescent"," ","Industrial Park","Crescent"," ",41,251,48,250,"[[[705547.8300000001,5157761.779999999],[705193.0399999991,5157736.23],[705172.2599999998,5157735.609999999],[705159.9000000004,5157739.859999999],[705154.0500000007,5157747.869999999],[705152.7100000009,5157753.3100000005],[705151.4800000004,5157770.109999999],[705150.9499999993,5157778.869999999],[705143.0500000007,5157898.26],[705125.9700000007,5158159.880000001],[705123.1400000006,5158202.66],[705114.5099999998,5158348.09]]]"
"Sackville Road"," ","Sackville","Road"," ",99,199,96,198,"[[[704741.7200000007,5157702.140000001],[704710.9700000007,5158133.220000001],[704709.1400000006,5158149.0600000005],[704707.5,5158155.23],[704706.1699999999,5158158.25],[704701.3699999992,5158164.08]]]"
"Superior Drive"," ","Superior","Drive"," ",5,67,4,64,"[[[704764.3399999999,5157380.32],[704642.1799999997,5157371.57],[704638.9299999997,5157371.41],[704630.6899999995,5157371.75],[704622.0700000003,5157374.08],[704616.3100000005,5157377.26],[704610.0299999993,5157382.24],[704605.3800000008,5157387.84],[704600.8200000003,5157397.5],[704599.2599999998,5157405.859999999],[704599.7300000004,5157417.8100000005],[704608.1999999993,5157479.460000001]]]"
"Superior Drive"," ","Superior","Drive"," ",69,95,66,90,"[[[704608.1999999993,5157479.460000001],[704621.4299999997,5157575.27]]]"
"Selkirk Road"," ","Selkirk","Road"," ",12,34,11,35,"[[[704608.1999999993,5157479.460000001],[704642.6899999995,5157474.119999999],[704660,5157472.199999999],[704679.0700000003,5157471.33],[704758,5157476.289999999]]]"
"Montcalm Road"," ","Montcalm","Road"," ",12,30,11,29,"[[[704621.4299999997,5157575.27],[704647.2400000002,5157570.67],[704658.6400000006,5157568.970000001],[704677.4299999997,5157568.0600000005],[704750.8200000003,5157572.359999999]]]"
"Sackville Road"," ","Sackville","Road"," ",73,81,74,82,"[[[704758,5157476.289999999],[704750.8200000003,5157572.359999999]]]"
"Sackville Road"," ","Sackville","Road"," ",69,71,70,72,"[[[704764.3399999999,5157380.32],[704758,5157476.289999999]]]"
"Westridge Road"," ","Westridge","Road"," ",13,51,16,54,"[[[704294.6799999997,5158022.380000001],[704269.7899999991,5158059.890000001],[704269.4000000004,5158060.390000001],[704268.9000000004,5158060.99],[704268.4000000004,5158061.49],[704268,5158062.09],[704267.5999999996,5158062.6899999995],[704267.0999999996,5158063.289999999],[704266.6999999993,5158063.890000001],[704266.3000000007,5158064.49],[704265.9000000004,5158065.09],[704265.5999999996,5158065.6899999995],[704265.1999999993,5158066.279999999],[704264.8000000007,5158066.890000001],[704264.5,5158067.6],[704264.0999999996,5158068.1899999995],[704263.8000000007,5158068.800000001],[704263.4900000002,5158069.5],[704263.1999999993,5158070.1899999995],[704262.9000000004,5158070.800000001],[704262.5999999996,5158071.5],[704262.4000000004,5158072.1899999995],[704262.0999999996,5158072.800000001],[704261.8900000006,5158073.5],[704261.5999999996,5158074.1899999995],[704261.4000000004,5158074.890000001],[704261.1999999993,5158075.59],[704261,5158076.289999999],[704260.8000000007,5158077],[704260.6999999993,5158077.6899999995],[704260.5,5158078.390000001],[704260.4000000004,5158079.09],[704260.1999999993,5158079.789999999],[704260.0999999996,5158080.49],[704260,5158081.1899999995],[704259.9000000004,5158081.890000001],[704259.8000000007,5158082.59],[704259.6999999993,5158083.390000001],[704259.6999999993,5158084.09],[704259.5999999996,5158084.789999999],[704259.5999999996,5158085.49],[704259.5999999996,5158086.1899999995],[704259.5999999996,5158086.99],[704246.7799999993,5158153.15],[704244.4800000004,5158162.98],[704239.0999999996,5158176.1],[704233.0999999996,5158185.390000001],[704211,5158212.6899999995]]]"
"Cabot Crescent"," ","Cabot","Crescent"," ",25,89,12,88,"[[[704294.6799999997,5158022.380000001],[704331.2400000002,5158049.35],[704335.6199999992,5158053.6899999995],[704339.5099999998,5158059.890000001],[704341.5600000005,5158065.8100000005],[704343.6999999993,5158076.49],[704359.5299999993,5158191.48],[704360.9700000007,5158204.970000001],[704360.9399999995,5158212.25],[704357.7400000002,5158218.699999999],[704351.4800000004,5158222.68],[704347.8800000008,5158223.720000001],[704344,5158224.380000001],[704275.0199999996,5158234.26],[704263.5999999996,5158235.49],[704257.1199999992,5158235.74],[704250,5158235.029999999],[704245.25,5158233.710000001],[704239.7899999991,5158231.6],[704234.6600000001,5158229.08],[704230.9700000007,5158226.859999999],[704228.6400000006,5158225.050000001],[704211,5158212.6899999995]]]"
