"FULLNAME","STREETPREFIX","STREETNAME","STREETTYPE","STREETSUFFIX","LEFTFROMADDRESS","LEFTTOADDRESS","RIGHTFROMADDRESS","RIGHTTOADDRESS","geometry.paths"
"Williams Street"," ","Williams","Street"," ",0,0,19,39,"[[[710677.0199999996,5155089.26],[710683.8000000007,5155099.48],[710693,5155115.67],[710719.9900000002,5155173.82]]]"
"Willowdale Street"," ","Willowdale","Street"," ",103,125,104,124,"[[[710906.5500000007,5155030.25],[710930.1099999994,5155069.619999999],[710934.5800000001,5155079.92],[710935.9000000004,5155086.67],[710934.2300000004,5155121.050000001]]]"
"Williams Street"," ","Williams","Street"," ",88,124,61,137,"[[[710759.1500000004,5155259.01],[710789.6199999992,5155324.4399999995],[710791.4800000004,5155328.98],[710792.4600000009,5155333.210000001],[710792.5999999996,5155336.76],[710792.2100000009,5155339.039999999],[710791.2799999993,5155341.51],[710789.2899999991,5155344.33],[710784.4900000002,5155348.279999999],[710604.5899999999,5155466.24]]]"
"Chicora Crescent"," ","Chicora","Crescent"," ",93,151,90,154,"[[[710566.0399999991,5155273.83],[710583.2200000007,5155286.859999999],[710634.6899999995,5155324.9399999995],[710638.1400000006,5155327.380000001],[710640.0399999991,5155328.58],[710642.0099999998,5155329.390000001],[710643.9399999995,5155329.8100000005],[710646.4000000004,5155329.92],[710649.0199999996,5155329.5],[710651.2100000009,5155328.720000001],[710654.3200000003,5155326.9399999995],[710759.1500000004,5155259.01]]]"
"Softwood Drive"," ","Softwood","Drive"," ",3,91,10,86,"[[[710903.5,5155566.18],[710879.0899999999,5155528.199999999],[710838.2599999998,5155444.07],[710834.5,5155440.49],[710829.5399999991,5155438.6899999995],[710823.6899999995,5155437.52],[710818.1799999997,5155438.369999999],[710813.6199999992,5155439.77],[710751.9299999997,5155480.76],[710749.2799999993,5155484.390000001],[710747.1999999993,5155489.039999999],[710746.3800000008,5155493.539999999],[710746.6500000004,5155497.8100000005],[710748.9399999995,5155503.49],[710759.2599999998,5155521.48],[710762.7899999991,5155530.17],[710762.9199999999,5155536.880000001],[710760.9199999999,5155543.390000001],[710758.3800000008,5155547.109999999],[710752.2899999991,5155552.279999999],[710697.2400000002,5155587.25]]]"
"Dacey Road"," ","Dacey","Road"," ",51,87,58,88,"[[[711074.0899999999,5155456.5],[710951.9499999993,5155534.5]]]"
"Manitou Drive"," ","Manitou","Drive"," ",109,135,104,136,"[[[708939.2599999998,5156401.039999999],[708938.9900000002,5156411.1],[708937.6999999993,5156428.779999999],[708934.0500000007,5156518.640000001]]]"
"East Braemar Bay","East","Braemar","Bay"," ",1,17,2,20,"[[[702746.0899999999,5159210.380000001],[702738.1300000008,5159329.59],[702737.0700000003,5159336.1],[702735.1199999992,5159339.68],[702734.1199999992,5159341.02],[702731.7899999991,5159343.4399999995],[702729.5999999996,5159345.09],[702727.3200000003,5159346.369999999],[702723.6799999997,5159347.66],[702717.6799999997,5159347.970000001],[702695.0399999991,5159347.01]]]"
"West Braemar Bay","West","Braemar","Bay"," ",19,41,22,40,"[[[702695.0399999991,5159347.01],[702687.5800000001,5159346.529999999],[702669.2100000009,5159345.369999999],[702664.7799999993,5159344.77],[702660.1199999992,5159343.720000001],[702657.3599999994,5159342.91],[702654.4600000009,5159341.539999999],[702651.4600000009,5159339.699999999],[702648.3800000008,5159336.57],[702646.6699999999,5159332.85],[702646.4800000004,5159329.73],[702646.5,5159323.65],[702648.2400000002,5159279.73],[702653.4000000004,5159204.640000001]]]"
"Peoples Road"," ","Peoples","Road"," ",1301,1337,1304,1344,"[[[703006.0800000001,5159268.41],[702995.3399999999,5159408.8100000005]]]"
"Lethbridge Street"," ","Lethbridge","Street"," ",3,15,2,12,"[[[702930.3399999999,5159263.59],[702920.5600000005,5159402.77]]]"
"Tallack Boulevard"," ","Tallack","Boulevard"," ",0,0,0,0,"[[[702839.75,5159225.960000001],[702825.3100000005,5159218.91],[702809.6699999999,5159215.0600000005],[702789.9600000009,5159213.289999999],[702746.0899999999,5159210.380000001]]]"
"Tallack Boulevard"," ","Tallack","Boulevard"," ",0,0,0,0,"[[[702746.0899999999,5159210.380000001],[702653.4000000004,5159204.640000001]]]"
"Tallack Boulevard"," ","Tallack","Boulevard"," ",3,41,4,4,"[[[702839.75,5159225.960000001],[702863.8699999992,5159240.17],[702877.4100000001,5159248.99],[702894.1099999994,5159258.4],[702907.6799999997,5159261.449999999],[702930.3399999999,5159263.59]]]"
"Tallack Boulevard"," ","Tallack","Boulevard"," ",1,1,0,0,"[[[703006.0800000001,5159268.41],[702930.3399999999,5159263.59]]]"
"Kent Crescent"," ","Kent","Crescent"," ",43,43,0,0,"[[[702920.5600000005,5159402.77],[702995.3399999999,5159408.8100000005]]]"
"Old Goulais Bay Road"," ","Old Goulais Bay","Road"," ",769,841,768,824,"[[[703612.9800000004,5161785.16],[703596.9000000004,5161993.3100000005],[703589.3300000001,5162087.789999999]]]"
