"Name","Location","Address","Municipality","Owner","Access_","Age0_3","Age4_5","Age6_12","Surface","OtherSurfaceType","Swingset","SaucerSwing","Slides","Bars","FiremanPole","MerryGoRound","Platforms","Climbers","RockWall","SeeSaw","SpringRiders","PlaygroundGames","Splashpad","OtherEquipDesc","OtherEquipDesc1","OtherEquipDesc2","BasketballCourt","BaseballField","SoccerField","TennisCourt","VolleyballCourt","FinalScore2013","FinalScore2016","geometry.x","geometry.y"
"Snowden Park","Shannon Road at Florwin Drive","197 Shannon Road","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,1,1,0,1,1,0,0,0,0,0,,,,0,0,0,1,0,90,90,708349.1599860288,5153440.560010228
"St. Patrick Street Park","St. Patrick Street, across from Holden Street","324 St. Patrick Street","Sault Ste. Marie","City","Public",1,1,1,"Grass","small amount of sand",1,0,1,0,0,0,0,1,0,0,0,0,0,,,,1,1,0,0,0,80,65,703276.9599957874,5158256.809969797
"Superior Park","Niagara Drive and Superior Drive","125 Superior Drive","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,1,1,0,1,1,0,1,0,1,0,"Tire Swing",,,0,0,0,0,0,70,95,704625.3900106966,5157705.070004064
"Sussex Park","Sussex Road east of Korah Road","308 Sussex Road","Sault Ste. Marie","City","Public",1,1,1,"Grass","Sand",1,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,80,80,701940.9300215871,5157421.359973832
"Sutton Park","Off Sutton Place, Bristol Place, Heath Road, and Texas Avenue","80 Texas Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,1,1,0,1,1,0,0,0,0,0,,,,0,0,0,1,0,85,80,708861.6700337313,5154722.189999425
"Upton Park","Upton Road at The Drive","251-255 Upton Road","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,55,75,706243.0100093341,5154420.159974999
"Victoria Park","Victoria Avenue between Upton Road and McGregor Avenue off Edward Street","22 Victoria Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,1,1,0,1,1,0,0,0,0,0,"Submarine climber",,,0,0,0,0,0,75,90,706301.2500010144,5153919.230018188
"Westwood","Newcastle Drive @ Westgate Dr.","66 	Broadview Drive","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,1,1,1,1,0,1,0,0,0,0,1,0,,,,0,0,0,0,0,70,70,700371.9799773322,5157630.769995399
"Winfield Park","Winfield Drive at Arbor Drive and Alpine Street","25 Arbor Drive","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,0,1,0,0,0,0,0,,,,1,1,0,0,0,90,85,699963.5700047426,5157265.450015267
"Sunrise Ridge Park","Park Place Drive near Lake Street and Village Court",,"Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,1,1,0,0,0,1,0,,,,0,0,0,0,0,90,85,707649.7800165464,5155868.470000579
